"cmap_name","cell_iname","n_signatures"
"APOH","A375",4
"APOH","A549",4
"APOH","HA1E",4
"APOH","HCC515",4
"APOH","HEPG2",4
"APOH","HT29",4
"APOH","MCF7",4
"APOH","PC3",4
"APOH","VCAP",7
"ASNS","A375",4
"ASNS","A549",4
"ASNS","HA1E",4
"ASNS","HCC515",3
"ASNS","HEPG2",4
"ASNS","HT29",7
"ASNS","MCF7",8
"ASNS","PC3",10
"ASNS","VCAP",4
"BCL3","A375",7
"BCL3","A549",4
"BCL3","HA1E",4
"BCL3","HCC515",3
"BCL3","HEPG2",4
"BCL3","HT29",4
"BCL3","MCF7",8
"BCL3","PC3",8
"BCL3","VCAP",3
"GPRC5A","A375",3
"GPRC5A","A549",3
"GPRC5A","HA1E",3
"GPRC5A","HCC515",2
"GPRC5A","HEPG2",3
"GPRC5A","HT29",2
"GPRC5A","MCF7",5
"GPRC5A","PC3",4
"GPRC5A","VCAP",2
"ITGB4","A375",7
"ITGB4","HA1E",4
"ITGB4","HCC515",3
"ITGB4","HEPG2",4
"ITGB4","HT29",4
"ITGB4","MCF7",7
"ITGB4","PC3",8
"KDELR3","A375",4
"KDELR3","A549",4
"KDELR3","ASC",3
"KDELR3","HA1E",4
"KDELR3","HCC515",3
"KDELR3","HEPG2",4
"KDELR3","HT29",4
"KDELR3","MCF7",4
"KDELR3","NPC",6
"KDELR3","PC3",8
"KDELR3","VCAP",4
"NME1","A375",4
"NME1","A549",4
"NME1","HA1E",4
"NME1","HCC515",4
"NME1","HEPG2",4
"NME1","HT29",4
"NME1","MCF7",4
"NME1","PC3",4
"NME1","VCAP",16
