"pathway","n_pathway","n_sig_hits","p_value","ratio","FDR"
"Aromatic AA Metabolism",5,5,0.247468512500158,1,0.949103375527427
"Sphingolipid Metabolism",5,5,0.247468512500158,1,0.949103375527427
"Fatty Acid Metabolism",10,9,0.254887754542846,0.9,0.949103375527427
"Bile Acid Synthesis",8,7,0.387544913763052,0.875,0.949103375527427
"Phospholipid Metabolism",8,7,0.387544913763052,0.875,0.949103375527427
"BCAA Metabolism",3,3,0.438047711781889,1,0.949103375527427
"Acylcarnitine Metabolism",6,5,0.560928628333692,0.833333333333333,0.989681204871078
"Glutamine Metabolism",4,3,0.762316797126924,0.75,0.989681204871078
"TCA Cycle",6,4,0.857890843333881,0.666666666666667,0.989681204871078
"Purine Metabolism",3,2,0.861246348588121,0.666666666666667,0.989681204871078
"Amino Acid Other",9,5,0.969204336405654,0.555555555555556,0.989681204871078
"One-Carbon Metabolism",8,4,0.983741546321744,0.5,0.989681204871078
"Glycolysis",5,2,0.989681204871078,0.4,0.989681204871078
