"gene","logFC","AveExpr","t","adj.P.Val","sig"
"MIR21",-2.02799787500001,11.9220382619048,-14.2029326903693,5.71038147985948e-17,"Down"
"PHLDA1",-2.35396237083336,12.9120888968254,-13.8186178530737,1.06090868160632e-16,"Down"
"MYC",-2.34950429583335,12.5094526428571,-13.1671299256807,6.8342345591297e-16,"Down"
"FOSB",-3.97971580833335,11.0252357222222,-12.8036769224873,1.86029763792481e-15,"Down"
"AXUD1",-1.53515605833335,13.2050295,-12.4997815467122,4.27172460452228e-15,"Down"
"THBS1",-2.15762982500002,12.8922105396825,-12.4593514528546,4.27172460452228e-15,"Down"
"SOCS3",-3.04525646666668,11.0147719444444,-12.1620562308936,1.07805363767263e-14,"Down"
"JUNB",-2.63260467500001,11.4738221507937,-12.0566270828979,1.38713268007767e-14,"Down"
"ADAMTS1",-2.35822102500002,11.6835719365079,-11.7469292750836,3.85802550141306e-14,"Down"
"ARID5B",-1.21015675416668,12.9655987936508,-11.6254488332564,4.99284555114379e-14,"Down"
"CYR61",-2.23047262916668,12.8109522539683,-11.6088491894048,4.99284555114379e-14,"Down"
"GADD45B",-1.29445105833335,13.5271651587302,-11.5789695920695,4.99284555114379e-14,"Down"
"PPP1R15A",-1.70413269166669,12.0001676507937,-11.5784266689313,4.99284555114379e-14,"Down"
"FAM107A",-1.92238050000002,11.8522873492064,-11.5498279111945,5.1573037177385e-14,"Down"
"C13orf15",-1.81931743750001,12.5240736746032,-11.4856014159184,6.11650559815452e-14,"Down"
"FILIP1L",-1.77199330833335,12.4990363174603,-11.2822287115248,1.22839980522595e-13,"Down"
"PPRC1",-1.37676810833335,12.7477459365079,-11.2494159512987,1.28381685084022e-13,"Down"
"JUN",-1.60370475833336,13.8697903412698,-11.2391752367748,1.28381685084022e-13,"Down"
"SOCS2",-1.79260784166669,12.8594298809524,-11.1490460648655,1.70815786039464e-13,"Down"
"RFXDC2",1.04529574583332,10.0308518809524,11.1205640491891,1.80696975504071e-13,"Up"
