"major_cell_type","NAFLD_cirrhosis","healthy","diff","fold"
"NK/NKT cells",16.3456246015134,24.3630620884704,-8.017437486957,0.670918316513621
"B/Plasma cells",7.63385341299612,3.66393931659686,3.96991409639926,2.08350978369549
"Monocytes",10.6961812941993,7.61444988661455,3.0817314075847,1.404721477385
"T cells",46.4141460164746,43.8280556222269,2.58609039424776,1.05900536443
"Dendritic cells",1.67234859336504,3.1181483659425,-1.44579977257746,0.536327460114153
"Hepatic stellate cells",1.45746296131495,2.73856898909086,-1.28110602777591,0.532198738509339
"Hepatocytes",2.32144751070047,1.2628293112269,1.05861819947357,1.83829080467341
"Kupffer cells",2.64522742538928,3.36984759349139,-0.724620168102109,0.784969453959384
"Cholangiocytes",0.99006023472158,0.532644067331749,0.457416167389832,1.85876515940792
"Mast cells",0.474381957134724,0.188941120293203,0.285440836841521,2.51073962300302
"Proliferating cells",0.824554944525784,0.804644132502105,0.0199108120236796,1.02474486697836
"Endothelial/LSEC",8.52471104766479,8.51486950621263,0.00984154145215754,1.00115580649181
